rebel_type			Brigantes	//Britons
category			peasant_revolt
chance				0
description			Brigantes
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type			Trinovantes	//Britons
category			peasant_revolt
chance				0
description			Trinovantes
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Suebi		//Germans
category			peasant_revolt
chance				3
description			Suebi
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Saxones		//Germans
category			peasant_revolt
chance				3
description			Saxones
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Gepids		//Germans
category			peasant_revolt
chance				3
description			Gepids
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Amazons		//Scythians
category			peasant_revolt 
chance				6
description			Amazons
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Saka		//Scythians
category			peasant_revolt 
chance				0
description			Saka
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Hibernians	//Britons
category			peasant_revolt 
chance				0
description			Hibernians
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Alans		//Scythians
category			peasant_revolt 
chance				0
description			Alans
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Silures		//Britons
category			peasant_revolt 
chance				6
description			Silures	
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Goths		//Germans
category			peasant_revolt 
chance				3
description			Goths
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Sarmatians	//Scythians
category			peasant_revolt 
chance				0
description			Sarmatians
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Iceni		//Britons
category			peasant_revolt 
chance				6
description			Iceni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
					
rebel_type 			Batavi		//Germans
category			peasant_revolt 
chance				3
description			Batavi
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Chatti		//Germans
category			peasant_revolt 
chance				3
description			Chatti
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Venedae		//dacians
category			peasant_revolt 
chance				0
description			Venedae
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Marcomanni	//germans
category			peasant_revolt 
chance				3
description			Marcomanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Belgae		//Britons
category			peasant_revolt 
chance				0
description			Belgae
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Maeotae 	//Scythians
category			peasant_revolt 
chance				3
description			Maeotae
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Alamanni	//germans
category			peasant_revolt 
chance				3
description			Alamanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Carnutes		//gauls
category			peasant_revolt 
chance				0
description			Carnutes
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
					
rebel_type 			Veneti		//gauls
category			peasant_revolt 
chance				0
description			Veneti
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
					
rebel_type 			Sequani		//gauls
category			peasant_revolt 
chance				0
description			Sequani
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Nervii		//gauls
category			peasant_revolt 
chance				0
description			Nervii
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Arverni		//gauls
category			peasant_revolt 
chance				0
description			Arverni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni

rebel_type 			Bituriges		//gauls
category			peasant_revolt 
chance				0
description			Bituriges
unit				western peasant alemanni
unit				western peasant alemanni
unit				western peasant alemanni
